"collection","filename","description","userSet","log2OR_unadj","qValue_unadj","support_unadj","log2OR_adj","qValue_adj","support_adj","cell","comparison","sig_unadj","sig_adj","agreement"
"TF_motif_clusters","regionSet_156.bed","oct4sox2","gain",0.395852247681651,0.016124651716168,196,0.58151834661278,0.00603220837493521,127,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motif_clusters","regionSet_46.bed","fox_5","gain",0.370292873762666,0.016591087461342,362,0.260035146319447,0.362298444371805,209,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_109.bed","maf","gain",0.374235262998439,0.0175286735937748,384,0.380752170751253,0.111492301571453,229,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_419.bed","MA1125.1_ZNF384","gain",0.42928867972614,0.0175286735937748,149,0.347068069891345,0.267535283090511,85,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_545.bed","MA1125.1_ZNF384","gain",0.42928867972614,0.0175286735937748,149,0.347068069891345,0.267535283090511,85,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_288.bed","MA0781.1_PAX9","gain",0.856339619089097,0.017724996700245,34,1.24252127973264,0.00335932535641597,26,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_385.bed","MA0781.1_PAX9","gain",0.856339619089097,0.017724996700245,34,1.24252127973264,0.00335932535641597,26,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motif_clusters","regionSet_113.bed","mfz1","loss",0.503214913166433,0.018210249581567,135,0.460374559359291,0.142115785835515,89,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_13.bed","creb_atf_1","loss",0.500936293195245,0.0192293703545455,134,0.309826281371027,0.432860376105445,83,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_277.bed","znf667","loss",0.481262779855743,0.0227407799666478,156,0.115085612988734,0.955190813170777,91,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
