"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR"
2.40915536374333,11.4903311699579,1.4396401314714,0.230300567329348,0.595295501526633,107,0.588914209258067
0.629161224006033,11.4012286839258,0.341993585970011,0.558728541972284,0.823518337284819,108,0.82846467323538
0.377091837212439,11.121725226749,0.0719047965459874,0.788603362104636,0.935417531000132,109,0.931571571511614
-1.62949661347947,12.0805263446136,0.83793218247323,0.360068805555235,0.72965484826171,110,0.721096162817949
1.63159251863861,11.4313917540032,1.00168850177909,0.316990021060065,0.699264403474996,111,0.688676952058453
0.415773206756534,11.8199227409796,-1.47198075452135e-10,1,1,112,1
0.870168081050585,11.3152473717968,0.642640007866297,0.422825436563398,0.765746853618751,113,0.759740973223709
-1.28128413100521,11.1716854989624,1.27562006513099,0.25881315164587,0.623319632236127,114,0.619764857223257
-2.16951288725457,11.6208234600207,3.06627139551392,0.0800436933477798,0.513428244456232,115,0.485584521842289
0.929105222843449,11.5100529293991,0.611903984511611,0.434138929312001,0.7740461530369,116,0.767620366330926
1.24522296407546,11.6823067003943,1.40668594981983,0.235709415686263,0.595749072613633,117,0.5890177417998
-0.153335594818576,11.6227403198405,0.0127938317271283,0.909951714615761,0.971178164091067,118,0.970587140195026
-2.57106669060102,12.1584549832953,3.09392835943884,0.0786956769760017,0.513428244456232,119,0.485584521842289
0.646802231994248,11.6702199671029,0.3308820502239,0.565187054964769,0.823518337284819,120,0.82846467323538
-0.885135847936121,11.4181876910875,0.784595010375359,0.375816661808505,0.739137707643423,121,0.732703852136271
-3.14124767770828,11.5581208612063,4.48367484138786,0.0343092664260248,0.428927070842476,122,0.392981317538888
-1.30400547378318,11.8153471814939,0.870098060825411,0.351009753766469,0.72965484826171,123,0.721096162817949
4.65955210515171,12.2752255949387,6.97417720963333,0.0083160363096264,0.280955611473332,124,0.24711542104866
1.02111609694766,11.1540182392961,0.607402925556008,0.435834153477747,0.774068380694067,125,0.768384741763909
-1.94105906158736,11.8743533640784,2.40328563823844,0.121195355959656,0.521896739832433,126,0.507228039792069
-2.27603522742452,12.2753476003472,2.68845105538281,0.10119199049259,0.521896739832433,127,0.506039445041069
1.39863471355612,11.296396816937,1.61723545798667,0.203584841835585,0.567569862087086,128,0.557268966949044
-0.0732045927557432,10.8976263233123,0.0019505044216375,0.964776461866644,0.989549241964878,129,0.989677299073745
0.512652684934637,11.168569507374,0.264057151762588,0.607387574135371,0.854987772631896,130,0.85634542685562
0.300225962869513,11.2509126794521,-1.81836378080124e-10,1,1,131,1
-0.972395228896229,12.1122003394553,0.485227287115389,0.48612272221027,0.801300186581706,132,0.801877188838992
-0.124156990024599,11.4061457354742,0.0139926767936612,0.905845977147178,0.971178164091067,133,0.970587140195026
1.15396502140217,11.0690555968016,0.97077908033066,0.324572318454923,0.699264403474996,134,0.691274418921252
0.214578264142261,11.3819709721522,0.0275003108304805,0.868301169265742,0.967034846324853,135,0.963352139233862
-1.38136658451548,12.5507398354552,0.816131341176536,0.366392543252835,0.73440398619473,136,0.726150705079103
