"embedding","Dim","dim_index","var_share_between_pseudobulks","covariate","r2","adj_r2","p","n","n_group","unit","p_adj"
"IterativeLSI","Dim2",2,0.512076895338353,"QC_meanLog10Frags",0.0374940962399999,0.0361969184721292,1.64726828741094e-08,834,91,"pseudobulk (LMM)",3.29453657482188e-08
"IterativeLSI","Dim2",2,0.512076895338353,"QC_meanFRIP",0.00470698778929905,0.00336562254373207,0.0472940689106333,834,91,"pseudobulk (LMM)",0.0591175861382917
"IterativeLSI","Dim3",3,0.252155997177607,"CellType",0.994805439052103,0.99472737870999,0,834,91,"pseudobulk (LMM)",0
"IterativeLSI","Dim3",3,0.252155997177607,"Cohort",0.132842098358073,0.102940101749731,0.00593337844962761,91,91,"sample",0.00659264272180846
"IterativeLSI","Dim3",3,0.252155997177607,"Control_status",0.00896157004021297,-0.00217369321776228,0.372084815505725,91,91,"sample",0.651390107537724
"IterativeLSI","Dim3",3,0.252155997177607,"Exposure_group",0.235282544642304,0.106174402828668,0.0542075595842334,91,91,"sample",0.0602306217602594
"IterativeLSI","Dim3",3,0.252155997177607,"Age",0.0111655380514136,-0.00531503631439612,0.413709540768689,62,62,"sample",0.459677267520766
"IterativeLSI","Dim3",3,0.252155997177607,"Sex_observed",0.0370601748486711,0.0210111777628157,0.133863515235106,62,62,"sample",0.66931757617553
"IterativeLSI","Dim3",3,0.252155997177607,"Sex_predicted",0.00858518434679426,-0.00255430796391609,0.382365006347442,91,91,"sample",0.637275010579071
"IterativeLSI","Dim3",3,0.252155997177607,"Sampling_day",0.00141041366067742,-0.019393536054725,0.795687775880086,50,50,"sample",0.987602938191756
"IterativeLSI","Dim3",3,0.252155997177607,"Batch_C19",0.0821450622274819,0.0422383258025898,0.164825233198681,25,25,"sample",0.274708721997801
"IterativeLSI","Dim3",3,0.252155997177607,"Supplier",0.13058513560366,0.110825706867379,0.00211831570709097,91,91,"sample",0.00235368411898997
"IterativeLSI","Dim3",3,0.252155997177607,"QC_tss_cutoff",0.257031173907135,0.248683209569013,2.92659798702483e-07,91,91,"sample",7.31649496756208e-07
"IterativeLSI","Dim3",3,0.252155997177607,"QC_frag_cutoff",0.0525238953860268,0.0418780964577798,0.0288743758319771,91,91,"sample",0.0617360211823582
"IterativeLSI","Dim3",3,0.252155997177607,"QC_nCells",0.0526079922278241,0.0513311835920125,1.89989624696579e-11,834,91,"pseudobulk (LMM)",1.89989624696579e-10
"IterativeLSI","Dim3",3,0.252155997177607,"QC_meanTSS",0.00121224948999813,-0.000133825645460162,0.314512808079261,834,91,"pseudobulk (LMM)",0.314512808079261
"IterativeLSI","Dim3",3,0.252155997177607,"QC_meanLog10Frags",0.00987700836806897,0.00854261080522267,0.00401200095083968,834,91,"pseudobulk (LMM)",0.00573142992977097
