"embedding","PC","pc_index","var_explained","covariate","r2","p","n","p_adj"
"IterativeLSI","PC2",2,0.082534035410085,"QC_meanLog10Frags",0.0989216835704631,1.32037614951365e-20,834,6.60188074756827e-20
"IterativeLSI","PC2",2,0.082534035410085,"QC_meanFRIP",0.150679282582982,2.20631989469999e-31,834,1.10315994734999e-30
"IterativeLSI","PC3",3,0.0603871924169147,"CellType",0.841113719969773,0,834,0
"IterativeLSI","PC3",3,0.0603871924169147,"Cohort",0.0446149826202559,2.96097132796726e-08,834,3.70121415995907e-08
"IterativeLSI","PC3",3,0.0603871924169147,"Control_status",0.00631766632324384,0.0216984283693607,834,0.0433968567387214
"IterativeLSI","PC3",3,0.0603871924169147,"Exposure_group",0.0537099688777099,1.68008424370372e-05,834,2.10010530462966e-05
"IterativeLSI","PC3",3,0.0603871924169147,"Age",0.00691267590084845,0.0511067307121787,551,0.0896171319250639
"IterativeLSI","PC3",3,0.0603871924169147,"Sex_observed",0.00222581334851665,0.268925404464822,551,0.537850808929645
"IterativeLSI","PC3",3,0.0603871924169147,"Sex_predicted",0.00183121920232314,0.217006873545582,834,0.559233022779623
"IterativeLSI","PC3",3,0.0603871924169147,"Sampling_day",1.37248861170682e-07,0.994033022875406,410,0.994033022875406
"IterativeLSI","PC3",3,0.0603871924169147,"QC_nCells",0.00369864879746255,0.079205521067538,834,0.0990069013344225
"IterativeLSI","PC3",3,0.0603871924169147,"QC_meanTSS",0.021860575064614,1.81069289839993e-05,834,2.58670414057132e-05
"IterativeLSI","PC3",3,0.0603871924169147,"QC_meanLog10Frags",0.0481117700190937,1.52274001539714e-10,834,5.0758000513238e-10
"IterativeLSI","PC3",3,0.0603871924169147,"QC_meanFRIP",0.0381769089607444,1.27701902828323e-08,834,3.19254757070808e-08
"IterativeLSI","PC4",4,0.0524806881305831,"CellType",0.307815042839322,1.24682287108598e-58,834,1.24682287108598e-58
"IterativeLSI","PC4",4,0.0524806881305831,"Cohort",0.355425265444395,9.69615385951131e-79,834,9.69615385951131e-78
"IterativeLSI","PC4",4,0.0524806881305831,"Control_status",0.0331041471310842,1.21813224876799e-07,834,6.09066124383997e-07
"IterativeLSI","PC4",4,0.0524806881305831,"Exposure_group",0.407020124504302,5.46666248381109e-84,834,5.46666248381109e-83
"IterativeLSI","PC4",4,0.0524806881305831,"Age",0.0504655694157541,9.84938876113231e-08,551,9.84938876113231e-07
"IterativeLSI","PC4",4,0.0524806881305831,"Sex_observed",0.00551380760458374,0.0816023946423021,551,0.40801197321151
"IterativeLSI","PC4",4,0.0524806881305831,"Sex_predicted",0.0370474451885766,2.11050506383501e-08,834,2.11050506383501e-07
"IterativeLSI","PC4",4,0.0524806881305831,"Sampling_day",0.00187261000867151,0.382140475264264,410,0.994033022875406
"IterativeLSI","PC4",4,0.0524806881305831,"QC_nCells",0.00247790128181024,0.15091949094951,834,0.167688323277233
"IterativeLSI","PC4",4,0.0524806881305831,"QC_meanTSS",0.234212592008189,3.50167937073272e-50,834,3.50167937073272e-49
"IterativeLSI","PC4",4,0.0524806881305831,"QC_meanLog10Frags",0.437943908376813,3.37840005899071e-106,834,3.37840005899071e-105
"IterativeLSI","PC4",4,0.0524806881305831,"QC_meanFRIP",0.423263843577024,1.5640189710884e-101,834,1.5640189710884e-100
"IterativeLSI","PC5",5,0.0472659233167196,"CellType",0.805986516370939,8.60972577081549e-284,834,2.15243144270387e-283
"IterativeLSI","PC5",5,0.0472659233167196,"Cohort",0.0527948651370875,9.04742614877293e-10,834,1.2924894498247e-09
"IterativeLSI","PC5",5,0.0472659233167196,"Control_status",0.000168518626316405,0.708146769058107,834,0.864482979843516
"IterativeLSI","PC5",5,0.0472659233167196,"Exposure_group",0.0593572234109365,2.43524895819513e-06,834,3.4789270831359e-06
"IterativeLSI","PC5",5,0.0472659233167196,"Age",0.00309646689458981,0.192150955274146,551,0.240188694092682
"IterativeLSI","PC5",5,0.0472659233167196,"Sex_observed",0.000872592797563407,0.488954426621321,551,0.66612036432266
"IterativeLSI","PC5",5,0.0472659233167196,"Sex_predicted",0.001254749506116,0.306897731566798,834,0.559233022779623
"IterativeLSI","PC5",5,0.0472659233167196,"Sampling_day",0.000307484680464165,0.723335312454324,410,0.994033022875406
"IterativeLSI","PC5",5,0.0472659233167196,"QC_nCells",0.0120221228350293,0.00151771979398475,834,0.00379429948496186
"IterativeLSI","PC5",5,0.0472659233167196,"QC_meanTSS",0.033505168232739,1.01928244872911e-07,834,1.69880408121519e-07
"IterativeLSI","PC5",5,0.0472659233167196,"QC_meanLog10Frags",0.0058208722334965,0.0275789143119025,834,0.0393984490170035
"IterativeLSI","PC5",5,0.0472659233167196,"QC_meanFRIP",0.00799858670827348,0.00976336338968831,834,0.013947661985269
"IterativeLSI","PC6",6,0.0446751001644231,"CellType",0.720504342843601,7.54767897342514e-219,834,1.50953579468503e-218
"IterativeLSI","PC6",6,0.0446751001644231,"Cohort",0.139908124864972,5.94398344853193e-27,834,1.98132781617731e-26
"IterativeLSI","PC6",6,0.0446751001644231,"Control_status",0.00280528930380859,0.126423792874307,834,0.210706321457179
"IterativeLSI","PC6",6,0.0446751001644231,"Exposure_group",0.150227118308795,2.81768768418605e-22,834,9.39229228062017e-22
"IterativeLSI","PC6",6,0.0446751001644231,"Age",0.00808400393966833,0.0348583460687036,551,0.0896171319250639
"IterativeLSI","PC6",6,0.0446751001644231,"Sex_observed",0.00330536446724954,0.177790559395018,551,0.444476398487546
"IterativeLSI","PC6",6,0.0446751001644231,"Sex_predicted",0.000399428067980396,0.56437187344912,834,0.627079859387911
"IterativeLSI","PC6",6,0.0446751001644231,"Sampling_day",0.000645858409950246,0.607880734152432,410,0.994033022875406
"IterativeLSI","PC6",6,0.0446751001644231,"QC_nCells",0.00652255222850358,0.0196663675879102,834,0.0327772793131837
"IterativeLSI","PC6",6,0.0446751001644231,"QC_meanTSS",0.11505140656951,6.68791487748047e-24,834,2.22930495916016e-23
"IterativeLSI","PC6",6,0.0446751001644231,"QC_meanLog10Frags",0.0201227710224182,3.93446363134836e-05,834,7.86892726269672e-05
"IterativeLSI","PC6",6,0.0446751001644231,"QC_meanFRIP",0.027107848790102,1.75025842610117e-06,834,3.50051685220235e-06
"IterativeLSI","PC7",7,0.0413023464843655,"CellType",0.806673314340131,2.01216899532117e-284,834,6.70722998440391e-284
"IterativeLSI","PC7",7,0.0413023464843655,"Cohort",0.0132360060298808,0.0113748720013915,834,0.0126387466682128
"IterativeLSI","PC7",7,0.0413023464843655,"Control_status",0.00122156310088437,0.313386162216052,834,0.447694517451502
"IterativeLSI","PC7",7,0.0413023464843655,"Exposure_group",0.031989246581863,0.0130922139406472,834,0.0145469043784969
"IterativeLSI","PC7",7,0.0413023464843655,"Age",0.000595506499299782,0.567589319988959,551,0.630654799987732
"IterativeLSI","PC7",7,0.0413023464843655,"Sex_observed",0.000359474072361065,0.656984731760735,551,0.729983035289706
"IterativeLSI","PC7",7,0.0413023464843655,"Sex_predicted",0.000882823905205253,0.391463115945736,834,0.559233022779623
"IterativeLSI","PC7",7,0.0413023464843655,"Sampling_day",0.000917572151438709,0.540787258167396,410,0.994033022875406
"IterativeLSI","PC7",7,0.0413023464843655,"QC_nCells",0.00115153794073349,0.327677216553126,834,0.327677216553126
