"embedding","Dim","covariate","r2_grouped","p_grouped","n_grouped","n_groups","unit_grouped","r2_cell","p_cell","n_cells","per_cell_value","p_cell_adj"
"IterativeLSI","Dim4","QC_meanFRIP",0.0068441493715227,0.0239501387212929,834,91,"per pseudobulk, sample-adjusted",0.000590016483251439,1.06699497987047e-36,271299,TRUE,1.33374372483809e-36
"IterativeLSI","Dim5","CellType",0.114407375462206,2.61451164423735e-235,834,91,"per pseudobulk, sample-adjusted",0.162716246679739,0,271299,TRUE,0
"IterativeLSI","Dim5","Cohort",0.950262964839673,1.4796793249017e-55,91,91,"per sample",0.658075587874209,0,271299,FALSE,0
"IterativeLSI","Dim5","Control_status",0.0579760045574688,0.107496726263758,91,91,"per sample",0.0999206074687029,0,271299,FALSE,0
"IterativeLSI","Dim5","Exposure_group",0.960734218155711,1.69457685066315e-47,91,91,"per sample",0.663551836064903,0,271299,FALSE,0
"IterativeLSI","Dim5","Age",0.090462870583853,0.0584395962092063,62,62,"per sample",0.0354415321207533,0,155962,FALSE,0
"IterativeLSI","Dim5","Sex_observed",0.000445478387714567,0.870654208936376,62,62,"per sample",0.00259843551941096,3.04180362711332e-90,155962,FALSE,1.52090181355666e-89
"IterativeLSI","Dim5","Sex_predicted",0.0125818026430158,0.579587945505542,91,91,"per sample",0.0275263492044227,0,271299,FALSE,0
"IterativeLSI","Dim5","Days_from_onset",0.00212966981790923,0.987602938191756,50,50,"per sample",0.00649366348411105,9.04236747815276e-187,130407,FALSE,4.52118373907638e-186
"IterativeLSI","Dim5","QC_nCells",0.00233512748784147,0.0052652884513396,834,91,"per pseudobulk, sample-adjusted",0.109495990097945,0,271299,FALSE,0
"IterativeLSI","Dim5","QC_meanTSS",0.00658010941802161,0.00207912993714627,834,91,"per pseudobulk, sample-adjusted",0.317416008421332,0,271299,TRUE,0
"IterativeLSI","Dim5","QC_meanLog10Frags",0.0619209954178295,2.31645150293432e-10,834,91,"per pseudobulk, sample-adjusted",0.229210703200512,0,271299,TRUE,0
"IterativeLSI","Dim5","QC_meanFRIP",0.391085884435533,1.51836491773548e-34,834,91,"per pseudobulk, sample-adjusted",0.370379620671608,0,271299,TRUE,0
"IterativeLSI","Dim6","CellType",0.399367229331759,3.98213709334031e-270,834,91,"per pseudobulk, sample-adjusted",0.221692289698235,0,271299,TRUE,0
"IterativeLSI","Dim6","Cohort",0.429813858712216,2.43302344256443e-10,91,91,"per sample",0.170238092307642,0,271299,FALSE,0
"IterativeLSI","Dim6","Control_status",0.00676940588167364,0.651390107537724,91,91,"per sample",0.0241268275353357,0,271299,FALSE,0
"IterativeLSI","Dim6","Exposure_group",0.536982052529407,2.33818936348962e-08,91,91,"per sample",0.206637317620446,0,271299,FALSE,0
"IterativeLSI","Dim6","Age",0.251326753220035,0.000331771225698583,62,62,"per sample",0.0603631474359484,0,155962,FALSE,0
