"embedding","Dim","dim_index","var_share_between_samples","var_share_cells","depth_cor","covariate","r2","adj_r2","p","r2_partial_adjCohort","adj_r2_partial_adjCohort","p_adjCohort","n","n_group","unit","p_adj","p_adjCohort_bh"
"IterativeLSI","Dim10",10,0.00773962197516975,0.0103479153204072,0.0886912049578054,"QC_meanLog10Frags",-0.00923368517763673,-0.0496030325847421,0.537616106305413,0.00243774214296251,-0.0374647481713191,0.714870651749401,92,66,"sample (LMM)",0.614418407206186,0.714870651749401
"IterativeLSI","Dim10",10,0.00773962197516975,0.0103479153204072,0.0886912049578054,"QC_meanFRIP",0.065677814550995,0.0283049271330347,0.247642437380669,0.247402416648132,0.217298513314057,8.56457454061169e-05,92,66,"sample (LMM)",0.247642437380669,0.000256937236218351
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Cohort",0.0621171239184858,0.0167356944306707,0.26062820285087,NA,NA,NA,66,66,"donor",0.482202200091376,NA
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Control_status",-0.00800154506529627,-0.0483216068679082,0.681560892475315,0.0050153593634589,-0.0347840262620027,0.699610722619365,92,66,"sample (LMM)",0.757289880528128,0.699610722619365
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Exposure_group",0.540277355484517,0.0805547109690339,0.0557485272559289,0.634480372915258,0.406030605987295,0.0998784225769151,92,66,"sample (LMM)",0.0796407532227556,0.113644717020113
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Age",0.103525524994655,0.0855960354945484,0.0200170883235126,0.0710096397598605,0.0516556739215243,0.061401325043406,52,52,"donor",0.200170883235126,0.296849510834395
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Sex_observed",0.00612078603253087,-0.0137567982468183,0.581430944582432,0.0165926901599896,-0.00389496212834395,0.372646482056903,52,52,"donor",0.852137968403656,0.775485579195205
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Sex_predicted",0.00097879852703997,-0.014630907745975,0.80307348026436,0.00249905309773395,-0.0138534214416475,0.697213041401285,66,66,"donor",0.80307348026436,0.815566738301016
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Sampling_day",0.0297265109808686,-0.00908442857989655,0.58195076929369,0.0284262406335138,-0.0104367097411457,0.600391388600256,50,24,"sample (LMM)",0.646611965881878,0.667101542889173
"Harmony","Dim1",1,0.018577135310993,0.0226134852010989,0.0350968421186003,"Viral_load",0.293836555975174,0.192956063971628,0.147657563265863,0.293836555975174,0.192956063971628,0.147657563265863,12,4,"sample (LMM)",0.184571954082329,0.184571954082329
