"embedding","PC","pc_index","var_explained","covariate","r2","p","r2_partial_adjCohort","p_adjCohort","n","p_adj","p_adjCohort_bh"
"Harmony","PC4",4,0.0657299802337383,"Sex",0.016841041178143,0.431046135932409,0.0429083792546301,0.212086239598282,39,0.983385831281371,0.706954131994272
"Harmony","PC4",4,0.0657299802337383,"Age",0.00636625207983258,0.629209266982252,0.000355572156897481,0.910532523770973,39,0.699121407758058,0.910532523770973
"Harmony","PC5",5,0.0592415612904503,"Cohort",0.0623883594942342,0.127110038980008,NA,NA,92,0.317775097450019,NA
"Harmony","PC5",5,0.0592415612904503,"Sex",0.00053794187543669,0.888541495544363,0.00609719678941327,0.641230758157115,39,0.983385831281371,0.881571618558553
"Harmony","PC5",5,0.0592415612904503,"Age",0.0015543938530332,0.811651591426589,0.0625192293265477,0.130021613487398,39,0.811651591426589,0.433405378291326
"Harmony","PC6",6,0.0461057066315304,"Cohort",0.0269840608020244,0.489773418997822,NA,NA,92,0.816289031663037,NA
"Harmony","PC6",6,0.0461057066315304,"Sex",0.0953943784667715,0.0557298418280231,0.0540531810715466,0.160127550312567,39,0.557298418280231,0.706954131994272
"Harmony","PC6",6,0.0461057066315304,"Age",0.140463694933151,0.0187338253330291,0.078558875739117,0.088302583756512,39,0.187338253330291,0.433405378291326
"Harmony","PC7",7,0.0398264559271459,"Cohort",0.065409431005391,0.112274429242514,NA,NA,92,0.317775097450019,NA
"Harmony","PC7",7,0.0398264559271459,"Sex",0.01895872480216,0.403214800301015,0.0599750718302374,0.138368270839746,39,0.983385831281371,0.706954131994272
"Harmony","PC7",7,0.0398264559271459,"Age",0.0591564902838739,0.135697983613406,0.0211548893147414,0.383594548467041,39,0.322381760954874,0.639324247445068
"Harmony","PC8",8,0.0316306835474901,"Cohort",0.0181149434490824,0.655357392828547,NA,NA,92,0.819196741035683,NA
"Harmony","PC8",8,0.0316306835474901,"Sex",0.00331573500412969,0.727696454254182,3.78743037725063e-05,0.970748045264331,39,0.983385831281371,0.970748045264331
"Harmony","PC8",8,0.0316306835474901,"Age",0.0787276689728514,0.0835969262048655,0.0654210120488647,0.121154838656046,39,0.278656420682885,0.433405378291326
"Harmony","PC9",9,0.0269474178019066,"Cohort",0.0315635350987109,0.417235585451402,NA,NA,92,0.816289031663037,NA
"Harmony","PC9",9,0.0269474178019066,"Sex",0.0108710427379289,0.527602016871206,0.00563563134863341,0.654195078408372,39,0.983385831281371,0.881571618558553
"Harmony","PC9",9,0.0269474178019066,"Age",0.00985036502651535,0.547752559946528,0.00297971837998688,0.744804382704947,39,0.68469069993316,0.827560425227719
"Harmony","PC10",10,0.0247703434447171,"Cohort",0.0104262713245294,0.818777256532581,NA,NA,92,0.909752507258423,NA
"Harmony","PC10",10,0.0247703434447171,"Sex",0.0337492250048262,0.262926913984528,0.0157989809520342,0.452089366717618,39,0.983385831281371,0.881571618558553
"Harmony","PC10",10,0.0247703434447171,"Age",0.0297132199594408,0.294022062011053,0.00616500296746732,0.639376618376522,39,0.490036770018422,0.810047436607876
