"motif","zdiff","p","donors_consistent","padj","mlog10padj","robust","group"
"POU3F1_618",-0.1409,1.741e-05,4,2.829e-05,4.548,TRUE,"NO"
"ZNF713_257",0.1408,2.565e-06,4,4.371e-06,5.359,TRUE,"NO"
"PRKRIR_799",-0.1408,1.461e-07,4,2.673e-07,6.573,TRUE,"NO"
"SOX4_754",0.1406,1.199e-06,4,2.055e-06,5.687,TRUE,"NO"
"ELF3_342",-0.1405,4.21e-08,3,7.971e-08,7.098,FALSE,"NO"
"POU3F4_619",-0.1391,3.598e-06,3,6.096e-06,5.215,FALSE,"NO"
"ESX1_455",0.1381,3.66e-06,4,6.187e-06,5.209,TRUE,"NO"
"HOXB9_529",-0.1371,9.35e-07,4,1.619e-06,5.791,TRUE,"NO"
"DLX5_412",-0.1359,9.951e-06,4,1.641e-05,4.785,TRUE,"NO"
"SPIB_336",0.1348,7.943e-06,4,1.32e-05,4.88,TRUE,"NO"
"NR2F2_694",-0.134,0.0002627,3,0.000391,3.408,FALSE,"NO"
"HMBOX1_488",-0.1328,5.869e-06,4,9.79e-06,5.009,TRUE,"NO"
"NKX21_476",0.1325,4.202e-05,4,6.664e-05,4.176,TRUE,"NO"
"MYBL2_647",-0.132,7.777e-07,3,1.36e-06,5.867,FALSE,"NO"
"LHX4_450",-0.1317,6.673e-06,4,1.111e-05,4.954,TRUE,"NO"
"C11orf9_654",0.1317,0.0008489,4,0.001217,2.915,TRUE,"NO"
"ZNF589_225",-0.1303,4.252e-06,4,7.16e-06,5.145,TRUE,"NO"
"MIXL1_553",-0.1299,9.885e-05,4,0.0001531,3.815,TRUE,"NO"
"SCRT2_282",0.1288,0.0004178,4,0.0006123,3.213,TRUE,"NO"
"NEUROD2_73",0.128,7.565e-05,4,0.0001185,3.926,TRUE,"NO"
"TERF2_649",0.1278,6.763e-05,4,0.0001063,3.974,TRUE,"NO"
"ZSCAN10_206",0.1277,2.912e-05,3,4.652e-05,4.332,FALSE,"NO"
"ZKSCAN4_273",-0.1275,1.59e-05,4,2.592e-05,4.586,TRUE,"NO"
"ZKSCAN3_276",-0.1275,1.59e-05,4,2.592e-05,4.586,TRUE,"NO"
"HOXA6_417",-0.1273,4.762e-06,4,8.005e-06,5.097,TRUE,"NO"
"DLX3_403",-0.1271,5.8e-06,4,9.696e-06,5.013,TRUE,"NO"
"DLX2_438",-0.1271,5.8e-06,4,9.696e-06,5.013,TRUE,"NO"
"GFI1B_228",-0.1261,3.714e-05,4,5.91e-05,4.228,TRUE,"NO"
"NOTO_567",0.1254,8.821e-05,4,0.0001374,3.862,TRUE,"NO"
"ATOH1_844",-0.1253,0.0008053,2,0.001157,2.937,FALSE,"NO"
"HOXA2_414",0.1239,9.256e-05,4,0.0001436,3.843,TRUE,"NO"
"BHLHA15_85",0.1239,0.000249,4,0.0003711,3.43,TRUE,"NO"
"CUX1_294",-0.123,3.791e-05,4,6.023e-05,4.22,TRUE,"NO"
"NAIF1_637",0.1227,2.366e-05,4,3.807e-05,4.419,TRUE,"NO"
"POU2F1_614",-0.1224,1.108e-05,3,1.823e-05,4.739,FALSE,"NO"
"EVX2_534",0.1223,0.0001812,4,0.0002748,3.561,TRUE,"NO"
"SIX3_480",0.1221,6.971e-05,4,0.0001094,3.961,TRUE,"NO"
"SOHLH2_819",0.1213,0.0001097,4,0.0001693,3.771,TRUE,"NO"
"C13orf38SOHLH2_823",0.1213,0.0001097,4,0.0001693,3.771,TRUE,"NO"
"ZFHX2_477",-0.1213,9.695e-06,3,1.602e-05,4.795,FALSE,"NO"
"ZFX_158",-0.1206,4.37e-09,4,8.71e-09,8.06,TRUE,"NO"
"FOXL1_369",0.1197,1.583e-05,4,2.591e-05,4.587,TRUE,"NO"
"BARHL1_456",0.1188,0.0002043,3,0.0003082,3.511,FALSE,"NO"
