"Cell_Type","Donor","Exposure","Residuals","Motif"
0.37246493695042,0.00343453322532681,0.0570328295573294,0.567067700266924,"hd_21"
0.476031890290581,0.05868934332967,0.0340894168891914,0.431189349490558,"hd_22"
0.131512573465524,0.0157198927836881,0.040519365603633,0.812248168147154,"hd_23"
0.717275633525771,0.000324638843060232,0.0110373430243502,0.271362384606818,"hd_24"
0.565190953971057,0.00857726698701041,0.0386518501406119,0.38757992890132,"hd_25"
0.107890088526499,0.0144104197865446,0.00289862133058693,0.874800870356369,"hd_3"
0.636906437430167,0,0.0691098668257109,0.293983695744122,"hd_4"
0.437866596554239,0,0.120928780079119,0.441204623366643,"hd_5"
0.658786736317449,0.00148683637197214,0.076044052057489,0.26368237525309,"hd_6"
0.248937498177806,0.0467475272159638,0.043514185141528,0.660800789464702,"hd_7"
0.474958786505719,0.0193990659304825,0.0227234592946059,0.482918688269193,"hd_8"
0.0879855129272151,0.0437541230172057,0.0666597268679189,0.80160063718766,"hd_9"
0.228753531537135,0.0205833816852937,0.0271266730202462,0.723536413757325,"hen1"
0.34309472606847,0.0866067910937512,0.208794819268663,0.361503663569116,"hic_1"
0.445935979039656,0.0367927600573414,0.0579924258152426,0.45927883508776,"hic_2"
0.663609253345907,0.00453670774625447,0.043016632216829,0.288837406691009,"hif"
0.639438218639474,0.0261727757450864,0.0850369097653487,0.249352095850091,"hinfp1_1"
0.0286551905481006,0.00916578915421358,0,0.962179020297686,"hinfp1_2"
0.111139960564099,0.00683646845225431,0.0684693467993976,0.813554224184249,"hinfp1_3"
0.162700293202228,0.0628411610239266,0.0135785135051471,0.760880032268698,"hltf"
0.645977461641768,0.00223192371706415,0.0840993517987974,0.267691262842371,"homez"
0.29947899178492,0.0020461318136666,0.0331418461754388,0.665333030225975,"hsf"
0.684000704324923,0.0183280097267461,0.0453851088833146,0.252286177065017,"hsfy2"
0.442573316233175,0.0417992152051375,0.0777069063349581,0.43792056222673,"insm1"
0.717691856673066,0.00770404035526678,0.0960903849414887,0.178513718030179,"irf_1"
0.741892329193618,2.73805336162315e-05,0.0792366368537758,0.17884365341899,"irf_2"
0.76819254582042,0.00603655147975374,0.0393802424872999,0.186390660212526,"irf_3"
0.441243526139124,0.00350546731293278,0.135329417707239,0.419921588840705,"irf_4"
0.576643410435344,0.0439949780676756,0.159548749680176,0.219812861816804,"kaiso"
0.483044068632256,0.089631171387557,0.0414368832202243,0.385887876759963,"klf_sp_1"
0.610616786146922,0.0151832093400838,0.0723753891139187,0.301824615399076,"klf_sp_2"
0.181011007961906,0.113235021021622,0.365170018600788,0.340583952415684,"klf_sp_3"
