"Cell_Type","Condition","Donor","Residuals","Motif"
0.818285678732137,0.00775231441987484,0.00589189381205172,0.168070113035936,"gata"
0.491491231699987,0.188975653132571,0.0325654540030687,0.286967661164373,"gc_tract"
0.244909037589133,0.127841986801241,0.153909367432386,0.47333960817724,"gcm"
0.37058218923533,0.0048612583498378,0.00517864747508765,0.619377904939744,"gfi"
0.29969218277345,0.344248511486869,0.06122570302167,0.294833602718011,"gli"
0.299745229193755,0.0170528938217928,0.0324748373632716,0.65072703962118,"glis"
0.650622618110908,0.0325690432939431,1.18843928872841e-08,0.316808326710756,"gmeb2_1"
0.412769611595436,0.100688268161553,0.0608170492528177,0.425725070990194,"gmeb2_2"
0.583662351415663,0.0251038854591297,0.0260303393057867,0.36520342381942,"gmeb2_3"
0.392671661975622,0.0844318206651195,0.0285427491414087,0.49435376821785,"grhl"
0.69253252581983,0.0487390410139761,0.00508430764379752,0.253644125522396,"hand1"
0.272959778810632,0.00802352493607756,0,0.71901669625329,"hd_1"
0.418456735882199,0.0510988165037687,0.0171298532702649,0.513314594343767,"hd_10"
0.424267825154479,0.0550836379555534,0.0121568050369021,0.508491731853065,"hd_11"
0.273806335557092,0.0367554404211027,0.173687647774467,0.515750576247338,"hd_12"
0.168525621073419,0.00904384887454952,0,0.822430530052032,"hd_13"
0.35415654031527,0.0151697447800121,0,0.630673714904718,"hd_14"
0.420253453869159,0.135893414401082,0.0417435457050472,0.402109586024713,"hd_15"
0.545925591405099,0.0244240604760399,0.00247192860537348,0.427178419513488,"hd_16"
0.688842980601439,0.0520047336475077,0,0.259152285751053,"hd_17"
0.66194954144325,0.0910774223162673,1.03805272763355e-14,0.246973036240472,"hd_18"
0.632827810185985,0.0155071495385416,0,0.351665040275474,"hd_19"
0.450507202565764,0.132014660176768,0.0388248189036793,0.378653318353789,"hd_2"
0.363042616450962,0.07397275762942,0.0704128603726185,0.492571765546999,"hd_20"
0.37096089486143,0.0479995012233562,0.000937415590544248,0.58010218832467,"hd_21"
0.479259665359991,0.0483885308409456,0.054646268815728,0.417705534983336,"hd_22"
0.128844426314645,0.0420869697812805,5.72186303947334e-08,0.829068546685445,"hd_23"
0.718315378002978,0.0119140840752747,1.56531043882642e-12,0.269770537920182,"hd_24"
0.566928106268,0.0392579070019694,1.00129041195374e-05,0.393803973825911,"hd_25"
0.107209214185159,0.00167437690573957,0.0229491800760074,0.868167228833094,"hd_3"
0.63978127751465,0.0609623280966555,1.01634616469568e-10,0.29925639428706,"hd_4"
0.437354509564448,0.107575102578001,0,0.455070387857551,"hd_5"
0.664105254312437,0.0649815916282291,0.000102776155635656,0.270810377903698,"hd_6"
0.250007469810786,0.0429393917863741,0.0385408284301724,0.668512309972668,"hd_7"
0.476030294399921,0.0172681534531603,0.0198202500769821,0.486881302069936,"hd_8"
0.0863405834473957,0.0615394205873013,0.0386480721410721,0.813471923824231,"hd_9"
0.226815008752472,0.0290381951709163,0.0192170027874022,0.72492979328921,"hen1"
0.345403020612456,0.216126347256224,0.0827634382222729,0.355707193909047,"hic_1"
0.447740667471963,0.0503829686168455,0.0342516988586835,0.467624665052508,"hic_2"
0.67012079766778,0.0328951629413644,0.00100216342782258,0.295981875963033,"hif"
0.646822809905592,0.0747703844687442,0.0306647663635668,0.247742039262097,"hinfp1_1"
0.0289212194738999,0,0.0242318453919472,0.946846935134153,"hinfp1_2"
0.109754370085436,0.0520891619817079,0.0441709992508389,0.793985468682017,"hinfp1_3"
0.162058869249139,0.00792294265531793,0.0514722407204552,0.778545947375088,"hltf"
0.648599310346446,0.0751910687334795,9.16884382645065e-05,0.27611793248181,"homez"
0.29766824722051,0.0314194004104358,0.00470012874433962,0.666212223624715,"hsf"
0.691879268967757,0.0382067388654944,0.0136735101270332,0.256240482039715,"hsfy2"
0.445448542306975,0.0696550053950296,0.047009146773038,0.437887305524958,"insm1"
0.723762243884007,0.0885591476891998,0.00574021425266286,0.181938394174131,"irf_1"
