"","name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"96","ACP5",-0.122797991465696,0.890195312148314,FALSE,-0.874482910345822,1,FALSE
"97","ACRBP",-0.0139525673268344,1,FALSE,-0.377869009207046,1,FALSE
"98","ACSF2",-0.154861494795046,0.926770387771346,FALSE,-0.0258924242552867,1,FALSE
"99","ACSF3",-0.0848503125809345,0.941419143334299,FALSE,0.419941590981288,1,FALSE
"100","ACSL1",-0.0219086748781458,0.957569857709352,FALSE,0.739211473951318,1.6360720887764e-37,TRUE
"101","ACSL3",0.0394505542838063,0.646220999480706,FALSE,1.09831427688119,1,FALSE
"102","ACSL4",-0.382064262403235,0.514438490748187,FALSE,0.209593818061502,0.00186323510040789,FALSE
"103","ACSL5",-0.0496699804593648,0.784219558008204,FALSE,0.379720675879549,1,FALSE
"104","ACSS1",-0.341453251509566,0.931160539148918,FALSE,-0.486942321290967,1,FALSE
"105","ACSS2",-0.109229317551524,0.973449401341026,FALSE,0.834251693742929,1,FALSE
"106","ACTA1",0.47048665962059,0.628852034437689,FALSE,0.900637884846353,1,FALSE
"107","ACTB",-0.0367639877985351,0.883362693034212,FALSE,0.839363096082413,0,TRUE
"108","ACTG1",-0.13237661127333,0.713284704349233,FALSE,0.488148441842614,5.08489566057707e-116,FALSE
"109","ACTL6A",-0.0317984867173822,0.917754292854362,FALSE,0.68249560240683,1,FALSE
"110","ACTN1",-0.206794447143631,0.477624418461123,FALSE,0.140185749336426,1,FALSE
"111","ACTN4",-0.0309535884247877,0.942573115181037,FALSE,0.745868896472578,3.40436199680606e-06,TRUE
"112","ACTR10",-0.227353764639506,0.838435627013902,FALSE,0.336677655129421,1,FALSE
"113","ACTR1A",0.162028157003639,0.872408892626432,FALSE,0.362123370210326,1,FALSE
"114","ACTR1B",0.193912356218331,0.899323339187646,FALSE,-0.601688020254933,1,FALSE
"115","ACTR2",-0.0503180234798094,1,FALSE,0.265208214629997,1.7288423254871e-37,FALSE
"116","ACTR3",0.245262768033053,0.354532166182599,FALSE,0.698227270023325,7.89730221914075e-94,TRUE
"117","ACTR5",-0.0437007675099877,0.989597437361067,FALSE,-0.392908408671187,1,FALSE
"118","ACTR6",-0.102465903433952,0.862165737417084,FALSE,-0.122753963507876,1,FALSE
"119","ACTR8",-0.166678074810787,0.625271878605227,FALSE,0.102555941210866,1,FALSE
"120","ACVR1",0.0650941282464189,0.637156512828706,FALSE,-0.348298945623866,1,FALSE
"121","ACVR1B",-0.0834900697336875,0.801269234514312,FALSE,-0.0726568915912091,1,FALSE
"122","ACVR2A",0.302093595623787,0.534488392844908,FALSE,0.266715096961854,1,FALSE
"123","ACVR2B",0.0516738937740309,0.539310130761276,FALSE,-0.39594246876082,1,FALSE
"124","ACVRL1",-0.0637047270941911,0.988660353665434,FALSE,2.00865580232938,1,FALSE
"125","ACYP1",-0.368518419095145,0.979324663152056,FALSE,0.404064494859296,1,FALSE
"126","ACYP2",-0.0234883917643942,0.69360627732902,FALSE,-0.713948417940546,1,FALSE
"127","ADA",0.558670262932752,0.312366516764454,FALSE,0.315268762070394,1,FALSE
"128","ADAM10",0.0903599921580588,0.924300148353938,FALSE,0.507641253091726,1.39397843504879e-29,TRUE
"129","ADAM15",0.0994539585706639,0.943472180000717,FALSE,0.331551995074928,1,FALSE
"130","ADAM17",0.0647547705181449,0.914644729919281,FALSE,0.337956356778289,1,FALSE
"131","ADAM19",0.130337525836261,0.556263249669262,FALSE,0.386380959622361,1,FALSE
"132","ADAM28",0.0680253072956734,0.710424637771932,FALSE,-1.05890748148325,1,FALSE
"133","ADAM8",0.163088279221715,0.568516454096397,FALSE,-0.432535482791899,1,FALSE
"134","ADAM9",0.0252422119768388,0.939650066769834,FALSE,1.47083769523682,1,FALSE
"135","ADAMTS2",0.220759712894901,0.0562821174725349,FALSE,2.02855535976709,1,FALSE
"136","ADAMTS5",-0.272503905388584,0.687709389565342,FALSE,-4.05181805669693,1,FALSE
"137","ADAMTSL4",-0.378952276876424,0.777973676634159,FALSE,0.413639636944306,1,FALSE
"138","ADAP1",-0.0272890832498678,0.957569857709352,FALSE,-0.429932395545152,1,FALSE
"139","ADAP2",0.0203006600150314,0.972837423461581,FALSE,1.19614298011785,1,FALSE
"140","ADAR",0.00060436440174858,0.980445024349617,FALSE,0.915492695280453,2.45408746606782e-135,TRUE
"141","ADARB1",0.158350044539556,0.537520790532536,FALSE,1.5792479584035,1,FALSE
"142","ADAT1",-0.491951421459333,0.480783321079044,FALSE,0.193777742244114,1,FALSE
"143","ADCK2",-0.0627087256959911,0.837530393523091,FALSE,0.0819946187285501,1,FALSE
"144","ADCK5",0.123702188646821,0.925282659328835,FALSE,-0.586154484348119,1,FALSE
"145","ADCY3",0.66941734905527,0.134551779556461,FALSE,2.37250976098445,1,FALSE
"146","ADCY7",-0.106957004935106,0.969069743371602,FALSE,-0.0974142314704887,1,FALSE
"147","ADCY9",-0.00705088016639692,1,FALSE,-0.541300248563859,1,FALSE
"148","ADD1",-0.341847465019821,0.980138907366482,FALSE,0.397118429246433,2.12099579733557e-12,FALSE
"149","ADD3",0.22065699017616,0.60959583256293,FALSE,0.416553606293581,4.87995035644144e-10,FALSE
"150","ADH5",0.400049154101268,0.930896683267443,FALSE,-0.00047368884444321,1,FALSE
"151","ADHFE1",-0.111058881490447,0.881145715239342,FALSE,0.0989446876584879,1,FALSE
"152","ADI1",-0.512615956327915,0.39501984056661,FALSE,-0.331043153086328,1,FALSE
"153","ADIPOR1",-0.0879503865991999,0.752910783163269,FALSE,-0.573413566259757,1,FALSE
"154","ADIPOR2",0.127319419933694,0.905140840995072,FALSE,0.11633131985553,1,FALSE
"155","ADK",-0.0385595723762454,0.985919018946379,FALSE,-0.293372735120272,1,FALSE
"156","ADM",0.216387540801645,0.972522812436509,FALSE,-0.476893770834966,1,FALSE
"157","ADNP",0.22253948607394,0.636994138961982,FALSE,-0.248198753093372,1,FALSE
"158","ADNP2",0.160826262215809,0.857124208644172,FALSE,-0.188921571155242,1,FALSE
"159","ADO",-0.131526648580825,0.983912541571244,FALSE,-0.736979386595888,1,FALSE
"160","ADORA2B",0.066242130580196,0.965336897879573,FALSE,2.33194750321702,1,FALSE
"161","ADPGK",-0.387901669750444,0.593335071456374,FALSE,-0.181843587614241,1,FALSE
"162","ADPRH",-0.219198700226212,0.614342704010473,FALSE,0.943067460701807,1,FALSE
"163","ADPRM",0.23715749781272,0.921503363673983,FALSE,-0.293372735120273,1,FALSE
"164","ADRB2",0.0558992357181195,0.543678947827501,FALSE,0.703352132846866,1,FALSE
"165","ADRM1",-0.130869179377292,0.792895235297446,FALSE,-0.0247940648258442,1,FALSE
"166","ADSL",0.00463404713918157,0.936914774853473,FALSE,0.0992786835022965,1,FALSE
"167","AEBP2",-0.120303086910749,0.983584931164466,FALSE,-0.0808778813188553,1,FALSE
"168","AEN",0.156510884314135,0.935449500992036,FALSE,-0.595935505140704,1,FALSE
"169","AFAP1",0.0242973788822736,0.665971998296809,FALSE,-1.5672954570968,1,FALSE
"170","AFF1",0.0526752535244416,0.792948674100577,FALSE,-0.2890811254879,1,FALSE
"171","AFF2",-0.493377638551457,0.0806477042587224,FALSE,-2.37743699990875,1,FALSE
"172","AFF3",0.0302303765263299,0.919150307118449,FALSE,-1.93080265573557,1,FALSE
"173","AFF4",-0.151712227300056,0.9068244328876,FALSE,-0.139230730918888,1,FALSE
"174","AFG3L2",-0.100791895198282,0.73119143707001,FALSE,-0.367227582431809,1,FALSE
"175","AFMID",0.13045227575068,0.882775383059828,FALSE,-0.778799562290515,1,FALSE
"176","AFTPH",-0.0925046693495881,0.994836533991834,FALSE,0.595503350350902,3.75048006534643e-06,TRUE
