"","TF.name","cvar","mtfr","p_val","cor_score","significant","Call","Call.category","cell_type"
"3962","SPIC",-2.76040478333703,0.709458667993149,0,-0.714942433463349,"negative_significant",NA,"inconclusive","Th-Mem"
"3965","SREBF2",-0.7796384642876,1.10860308469625,0,-0.608588994215452,"negative_significant","MethylMinus","MethylMinus","Th-Mem"
"3971","TAL1::TCF3",-0.5856216707277,1.11986264567195,0,-0.646222191051085,"negative_significant",NA,"inconclusive","Th-Mem"
"3987","TCF7",0.735013927752319,-1.01106775669265,0,-0.712064345727579,"negative_significant","MethylMinus","MethylMinus","Th-Mem"
"3988","TCF7L1",0.61147162323679,-1.56679654634952,0,-0.457067302557857,"negative_significant","MethylMinus","MethylMinus","Th-Mem"
"3989","TCF7L2",0.740790245195608,-0.942524811356407,0,-0.717120445803931,"negative_significant",NA,"inconclusive","Th-Mem"
"3990","TCFL5",0.554195705951516,0.685389761337273,1e-04,0.226504675936183,"positive_significant","MethylMinus","MethylMinus","Th-Mem"
"4000","TFAP4",-0.780227297789862,0.526833991380047,0,-0.605871579521201,"negative_significant",NA,"inconclusive","Th-Mem"
"4006","TGIF1",-0.515207734914942,0.609137664485762,0,-0.577468793884223,"negative_significant",NA,"inconclusive","Th-Mem"
"4017","TWIST1",-1.01788735806893,0.747907497994907,0,-0.61783917074858,"negative_significant",NA,"inconclusive","Th-Mem"
"4039","ZBTB18",-1.08366791919754,0.673525831082286,0,-0.581090313232732,"negative_significant",NA,"inconclusive","Th-Mem"
"4043","ZBTB6",-0.586764564342213,-0.913416149067762,5e-05,0.233159855330503,"positive_significant",NA,"inconclusive","Th-Mem"
"4048","ZFP42",1.26978809971572,-1.18978300399345,0,-0.283372731170729,"negative_significant","MethylPlus and MethylMinus","Multiple effects","Th-Mem"
"4061","ZNF16",-0.922127584134906,0.559849488003507,0,-0.371472565237559,"negative_significant",NA,"inconclusive","Th-Mem"
"4073","ZNF528",-0.788071233562438,0.508971760931685,0,-0.545960300369325,"negative_significant",NA,"inconclusive","Th-Mem"
