"name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"CAPG",0.13185424637663,0.644708934089979,FALSE,1.27783749935258,5.35879920019367e-99,TRUE
"CAPN2",0.114894791700057,0.71448585141911,FALSE,0.6600368249531,5.73680116779926e-68,TRUE
"CASZ1",0.588243967069743,0.0278664548647583,TRUE,0.581096382795868,1,FALSE
"CBX3",0.0337963310050636,0.898286010796401,FALSE,0.687981512082327,0.00529429121455291,TRUE
"CCDC88A",0.195734096085058,0.416164334622621,FALSE,0.609026977357226,4.13368648869198e-42,TRUE
"CCR1",0.0977284838164592,0.665975867421971,FALSE,1.99621463972487,2.02513059592567e-81,TRUE
"CCT3",0.170366787255554,0.541488516109867,FALSE,0.775789289387123,0.000911924658926236,TRUE
"CCT8",0.220970028797234,0.837285284111739,FALSE,0.52432413115879,3.85529973889734e-06,TRUE
"CD14",0.0398854638689256,0.921786211077912,FALSE,0.646869488718216,3.31283737786053e-124,TRUE
"CD163",0.244602784854407,0.596708652173495,FALSE,1.57229834712172,1.38352574550126e-145,TRUE
"CES1",0.14079170002474,0.809121615231884,FALSE,2.57993525996386,4.42737358918823e-15,TRUE
"CFL1",0.010594484552353,0.794418988959427,FALSE,0.691007894982765,4.77800667911685e-113,TRUE
"CKAP4",0.19807317705552,0.345129284198894,FALSE,1.05213633861103,8.30568062348564e-97,TRUE
"CLIP1",0.16911966875439,0.750998904778414,FALSE,0.529999260653213,6.36788556071453e-12,TRUE
"CNDP2",0.230291574895838,0.758464236075982,FALSE,0.923143119879506,2.01062677272595e-14,TRUE
"COPA",0.324470010863013,0.76237037675448,FALSE,0.570510281400755,6.89072853551066e-32,TRUE
"COPB2",0.185863666591952,0.910422755808644,FALSE,0.867036471201842,5.67493906587407e-09,TRUE
"CORO1C",0.222382658933008,0.42712238785412,FALSE,0.54191798708551,3.32183013544258e-26,TRUE
"COX6B1",0.263112994660609,0.861369069657795,FALSE,0.615212159028121,2.84718765755034e-10,TRUE
"CPEB4",0.27728275474362,0.287231686262286,FALSE,0.633254078549508,0.00551179250825348,TRUE
"CPT1A",0.372777463351676,0.724715084317114,FALSE,0.653760764235922,1.10414073111673e-05,TRUE
"CR1",0.676668146546464,0.350257888783893,FALSE,1.58450677382918,6.8261832944093e-39,TRUE
"CREB5",0.255416086866098,0.324790601944765,FALSE,0.812411940740825,9.05674037285123e-09,TRUE
"CTNNA1",0.200598176649515,0.561751278158847,FALSE,1.12342737285783,4.09873828875256e-69,TRUE
"CUL1",0.116034420558975,0.55371666204463,FALSE,1.36063141003053,0.00012411473300866,TRUE
"CYP1B1",0.280803001800788,0.48439719604454,FALSE,1.06702950758173,3.1915836975062e-103,TRUE
"DBI",0.138577222291091,0.926434080373233,FALSE,1.31604280932542,2.79455025626628e-08,TRUE
"DDX60L",0.293275135784701,0.374932409505669,FALSE,1.63000598327682,1.45319928661786e-34,TRUE
"DNAJC5",0.0443175384277513,0.784472767923847,FALSE,0.539466623506784,0.000433612583519965,TRUE
"DNTTIP2",0.410952896003896,0.863077539920708,FALSE,0.548783292845616,0.0208034721542007,TRUE
"DSE",0.174717174432055,0.682677066924599,FALSE,0.810290824053318,4.03820634801986e-08,TRUE
"DTX3L",0.0333679992866641,0.972662889950936,FALSE,1.42959958696643,1.28584863287596e-30,TRUE
"DYNC1H1",0.226129829004551,0.507451583336749,FALSE,0.659277687856079,1.35627054327344e-34,TRUE
"DYSF",0.39959012371852,0.0222755567416448,FALSE,2.08788949914949,1.33876341558582e-103,TRUE
"EIF4G3",0.141456580842703,0.437475501954466,FALSE,1.01778892889802,0.000249608178040807,TRUE
"ENO1",0.0789451862038371,0.929775154982191,FALSE,1.097345315514,1.18083492664104e-301,TRUE
"EPSTI1",0.348852228656201,0.732658666462558,FALSE,2.54688066745796,1.01251788478221e-17,TRUE
"EWSR1",0.520571336763303,0.55617319088109,FALSE,0.579374566129854,3.1617833405704e-09,TRUE
