"name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"DUSP2",-0.153117165886026,0.778866611852046,FALSE,-4.03564375438093,4.44752056792155e-47,TRUE
"EEF1A1",-0.0769290970372937,0.984460481502409,FALSE,-0.84144078048055,9.54904744888242e-96,TRUE
"EEF1B2",-0.0328482707619977,0.981108796770242,FALSE,-1.09941152963558,3.18516246795175e-08,TRUE
"EEF1D",-0.253001272501792,0.892451954801202,FALSE,-0.789213170669399,0.00160745948554463,TRUE
"EGR1",-0.509636947330428,0.230554533099955,FALSE,-1.62172958925345,2.51922773983081e-44,TRUE
"EIF1",-0.0326476555789009,0.909448910203402,FALSE,-0.850384815547701,1.25436460750114e-64,TRUE
"EIF4B",-0.0877472787313997,0.956448605792516,FALSE,-1.03441729653712,6.15813071538747e-32,TRUE
"EVI2B",-0.326089790784749,0.75374353183629,FALSE,-0.867150612620447,3.65415409092476e-27,TRUE
"FCGR3A",-0.0664942963601206,0.897005306001208,FALSE,-1.53972839980744,0.00609831241594101,TRUE
"FCGR3B",-0.0464744430013369,0.897752993312204,FALSE,-3.3056591084481,1.99342134527439e-16,TRUE
"FOS",-0.0118242826130068,0.989527670806092,FALSE,-0.597123555155845,2.65003139433338e-30,TRUE
"FOSB",-0.103752607630978,0.834141182744191,FALSE,-1.52314041925514,1.74873990310007e-165,TRUE
"FTH1",-0.137601721188409,0.859961366250695,FALSE,-1.83204158356749,5.52585707277901e-25,TRUE
"G0S2",-0.196975940197951,0.770263131850662,FALSE,-3.35226642417384,6.94817845829031e-36,TRUE
"GADD45B",-0.0261515787281873,0.986425549126306,FALSE,-0.911823198162305,6.58909712963741e-14,TRUE
"HLA-DMA",-0.0484657392197409,1,FALSE,-1.41986676792828,1.04196193626429e-10,TRUE
"HLA-DMB",-0.357248877463216,0.32669673634676,FALSE,-1.95337152723287,1.4910128107812e-38,TRUE
"HLA-DPA1",-0.262113666271953,0.325826213028828,FALSE,-2.69665640597842,0,TRUE
"HLA-DPB1",-0.0051582702443205,0.98323708466684,FALSE,-2.32347654383452,8.10513081527289e-198,TRUE
"HLA-DQB1",-0.841175493415159,0.0687912644096321,FALSE,-3.426811005171,1.4651530160054e-89,TRUE
"HLA-DRA",-0.4022973266457,0.459223640921437,FALSE,-2.16751755793148,0,TRUE
"HLA-DRB1",-0.271094045052244,0.367395462443127,FALSE,-1.58089259093634,8.99567855319524e-219,TRUE
"HLA-DRB5",-0.14195947847948,0.818835443442515,FALSE,-1.35683483159919,1.4828932396559e-102,TRUE
"IDS",-0.376104343976757,0.449461337039467,FALSE,-1.0009403141905,0.0163732047991321,TRUE
"IER5",-0.0461402679590482,0.921583065870339,FALSE,-1.69463309588629,3.3529625396304e-17,TRUE
"IFITM2",-0.157721067743756,0.823880225605876,FALSE,-0.73483305090486,3.24947679502613e-06,TRUE
"IL10RA",-0.0942368159382023,0.910023292436302,FALSE,-0.883166366487054,7.13222694261979e-17,TRUE
"IL13RA1",-0.168497496571428,0.903949797999727,FALSE,-1.27191962545396,0.000800414694718482,TRUE
"IL1B",-0.408253153021587,0.438472796978002,FALSE,-3.88153766787977,3.96585263479504e-104,TRUE
"IRS2",-0.111358188189955,0.975688672068152,FALSE,-0.858723106587464,0.000308970421952349,TRUE
"JUNB",-0.0478115723208238,0.883799334933224,FALSE,-1.28389806831546,1.06932056714092e-100,TRUE
"LSP1",-0.535041733487062,0.0972466096781366,FALSE,-1.25896433274939,1.89336571357355e-54,TRUE
"LST1",-0.53381273209142,0.732658666462558,FALSE,-0.726281301205921,2.00753788235014e-20,TRUE
"MAP3K3",-0.235728144215488,0.93764555378984,FALSE,-0.807636946595196,0.00397998802718029,TRUE
"MCL1",-0.221621884432322,0.69021341883371,FALSE,-0.736369995095182,5.56739379693373e-43,TRUE
"MS4A7",-0.173898521581157,0.682677066924599,FALSE,-1.58406647958259,5.30762177334017e-12,TRUE
"NCOA4",-0.125947328537151,0.839650533155896,FALSE,-0.523186443607818,3.37905705965847e-10,TRUE
"NINJ1",-0.272465322290361,0.620140596362154,FALSE,-1.311634941513,7.05913380719137e-10,TRUE
"NOTCH2",-0.184102026303677,0.911592793803042,FALSE,-0.713398886432967,1.5819315905062e-18,TRUE
